1,David Guetta
2,Dimitri Vegas & Like Mike
3,Martin Garrix
4,Armin Van Buuren
5,Alok
6,Don Diablo
7,Afrojack
8,Oliver Heldens
9,Steve Aoki
10,Timmy Trumpet
11,Marshmello
12,KSHMR
13,R3hab
14,W&W
15,Skrillex
16,Tiësto
17,Hardwell
18,Calvin Harris
19,Above & Beyond
20,Nervo
21,Lost Frequencies
22,Eric Prydz
23,Fedde Le Grand
24,Vini Vici
25,DJ Snake
26,Alan Walker
27,The Chainsmokers
28,Kygo
29,Bassjackers
30,Vintage Culture
31,Nicky Romero
32,Charlotte de Witte
33,Quintino
34,Carl Cox
35,Zedd
36,Angerfist
37,Diplo
38,Danny Avila
39,VINAI
40,Tujamo
41,Claptone
42,MATTN
43,Illenium
44,Mariana Bo
45,Alesso
46,Headhunterz
47,Alison Wonderland
48,Adam Beyer
49,Wolfpack
50,Paul van Dyk
51,Diego Miranda
52,Cat Dealers
53,Ferry Corsten
54,Miss K8
55,DVBBS
56,ATB
57,REZZ
58,Will Sparks
59,Amelie Lens
60,Boris Brejcha
61,Carta
62,3 Are Legend
63,Breathe Carolina
64,Deadmau5
65,Ummet Ozcan
66,Nina Kraviz
67,Yellow Claw
68,Jamie Jones
69,Peggy Gou
70,Blasterjaxx
71,Julian Jordan
72,Deniz Koyu
73,Nora En Pure
74,Kura
75,Florian Picasso
76,TBC - marek
77,Tom & Collins
78,Brennan Heart
79,Mr Pig
80,Radical Redemption
81,Rave Republic
82,Pink Panda
83,D.O.D
84,Swedish House Mafia
85,Plastik Funk
86,Green Velvet
87,Sunnery James & Ryan Marciano
88,Aryue
89,Burak Yeter
90,Mike Williams
91,Black Coffee
92,Tungevaag
93,Deborah De Luca
94,Mike Perry
95,ANNA
96,Dimitri Vangelis & Wyman
97,Blastoyz
98,22Bullets
99,Robin Schulz
100,Marco Carola
